title,date,url,quote,status
As checagens em tempo real do debate da CNBB com postulantes ao Planalto,"20 de setembro de 2018, 20h30",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-da-cnbb-com-postulantes-ao-planalto/,Nós tivemos 63 mil assassinatos no Brasil. — Geraldo Alckmin (PSDB),VERDADEIRO
As checagens em tempo real do debate da CNBB com postulantes ao Planalto,"20 de setembro de 2018, 20h30",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-da-cnbb-com-postulantes-ao-planalto/,9 milhões de pessoas levadas para a linha abaixo da pobreza. — Geraldo Alckmin (PSDB),VERDADEIRO
As checagens em tempo real do debate da CNBB com postulantes ao Planalto,"20 de setembro de 2018, 20h30",https://www.aosfatos.org/noticias/checagens-em-tempo-real-do-debate-da-cnbb-com-postulantes-ao-planalto/,Mulheres receberem salários menores. — Marina Silva (Rede),VERDADEIRO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,[A prefeitura] emprestou centenas de equipamentos para outras 25 cidades - apresentador em programa eleitoral de Marcelo Crivella,VERDADEIRO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,A fila do Sisreg quase triplicou - Eduardo Paes,VERDADEIRO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,1 milhão e 700 mil cariocas perderam acesso ao atendimento mais básico da saúde - Eduardo Paes,VERDADEIRO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,"Nós temos a metade da população de São Paulo, mas a gente teve quase o mesmo número de mortes por coronavírus - Eduardo Paes",VERDADEIRO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,"Há muito tempo, esses esquemas [de desvio de dinheiro público na Saúde] também acontecem na prefeitura - Martha Rocha",VERDADEIRO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,Nós temos 300 mil pessoas na fila esperando uma consulta - Benedita da Silva,IMPRECISO
"Na TV, candidatos à prefeitura alternam fato e ficção sobre a Saúde no Rio","19 de outubro de 2020, 13h11",https://www.aosfatos.org/noticias/na-tv-candidatos-prefeitura-alternam-fato-e-ficcao-sobre-saude-no-rio/,[Empresários das OSs] mandam a conta bilionária para a prefeitura - Paulo Messina,VERDADEIRO
